"county","case_type","case_number","period"
"adair","TR","TR-2022-211","post"
"adair","CM","CM-2022-95","post"
"adair","CM","CM-2021-180","post"
"adair","CM","CM-2018-512","post"
"adair","CM","CM-2022-165","post"
"adair","CM","CM-2020-142","post"
"adair","CM","CM-2022-137","post"
"adair","CM","CM-2022-152","post"
"adair","TR","TR-2022-185","post"
"adair","TR","TR-2022-184","post"
"adair","CM","CM-2019-6","post"
"adair","CM","CM-2021-83","post"
"adair","CM","CM-2020-253","post"
"adair","CM","CM-2023-7","post"
"adair","CF","CF-2022-60","post"
"adair","CF","CF-2022-41","post"
"adair","CM","CM-2022-140","post"
"adair","TR","TR-2022-216","post"
"adair","CM","CM-2018-159","post"
"adair","CM","CM-2022-4","post"
"adair","TR","TR-2022-188","post"
"adair","TR","TR-2022-214","post"
"adair","CF","CF-2018-27","post"
"adair","CM","CM-2021-13","post"
"adair","CM","CM-2019-178","post"
"adair","TR","TR-2022-203","post"
"adair","CM","CM-2016-339","post"
"adair","CM","CM-2022-84","post"
"adair","CF","CF-2015-242","post"
"adair","CF","CF-2019-15","post"
"adair","TR","TR-2022-199","post"
"adair","CF","CF-2019-84","post"
"adair","CF","CF-2007-81","post"
"adair","CF","CF-2014-81","post"
"adair","CF","CF-2017-269","post"
"adair","CM","CM-2022-42","post"
"adair","CM","CM-2022-151","post"
"adair","CF","CF-2017-152","post"
"adair","CF","CF-2011-51","post"
"adair","CM",NA,"post"
"adair","CF","CF-2023-6","post"
"adair","CF","CF-2022-26","post"
"adair","CM","CM-2022-199","post"
"adair","CM","CM-2014-64","post"
"adair","CF","CF-2015-187","post"
"adair","CM","CM-2013-535","post"
"adair","CF","CF-2022-61","post"
"adair","CM","CM-2005-263","post"
"adair","CM","CM-2022-204","post"
"adair","CM","CM-2022-15","post"
"adair","CM","CM-2022-198","post"
"adair","TR","TR-2022-190","post"
"adair","CF","CF-2018-13","post"
"adair","CF","CF-2021-61","post"
"adair","CF","CF-2022-30","post"
"adair","CF","CF-2022-28","post"
"adair","CM","CM-2015-217","post"
"adair","CF","CF-2015-264","post"
"adair","CM","CM-2020-266","post"
"adair","CF","CF-2022-51","post"
"adair","CM","CM-2022-195","post"
"adair","CM","CM-2022-158","post"
"adair","CM","CM-2022-168","post"
"adair","CF","CF-2014-115","post"
"adair","TR","TR-2022-223","post"
"adair","CF","CF-2015-169","post"
"adair","CM","CM-2021-17","post"
"adair","TR","TR-2022-176","post"
"adair","TR","TR-2022-182","post"
"adair","TR","TR-2015-548","post"
"adair","CM","CM-2022-128","post"
"adair","CM","CM-2022-142","post"
"adair","CM","CM-2021-172","post"
"adair","CM","CM-2022-25","post"
"adair","CM","CM-2021-75","post"
"adair","CF","CF-2021-55","pre"
"adair","CM","CM-2018-543","pre"
"adair","CM","CM-2017-106","pre"
"adair","CF","CF-2017-89","pre"
"adair","CM","CM-2022-139","pre"
"adair","CM","CM-2021-218","pre"
"adair","CF","CF-2021-50","pre"
"adair","CM","CM-2022-149","pre"
"adair","CM","CM-2021-202","pre"
"adair","TR","TR-2022-123","pre"
"adair","CM","CM-2020-131","pre"
"adair","TR","TR-2022-133","pre"
"adair","CM","CM-2007-270","pre"
"adair","CF","CF-2022-43","pre"
"adair","CM","CM-2022-74","pre"
"adair","CM","CM-2022-114","pre"
"adair","TR","TR-2022-122","pre"
"adair","TR","TR-2022-164","pre"
"adair","CM","CM-2020-191","pre"
"adair","CF","CF-2022-50","pre"
"adair","CM","CM-2018-229","pre"
"adair","CM","CM-2021-114","pre"
"adair","CM","CM-2022-136","pre"
"adair","CF","CF-2017-167","pre"
"adair","TR","TR-2022-159","pre"
"adair","CF","CF-2019-20","pre"
"adair","CM","CM-2022-151","pre"
"adair","CF","CF-2006-25","pre"
"adair","CF","CF-2015-213","pre"
"adair","CF","CF-2019-150","pre"
"adair","CF","CF-2018-62","pre"
"adair","CM","CM-2022-173","pre"
"adair","CM","CM-2022-75","pre"
"adair","CM","CM-2022-11","pre"
"adair","CF","CF-2022-19","pre"
"adair","CM","CM-2020-124","pre"
"adair","CF","CF-2022-24","pre"
"adair","CF","CF-2017-251","pre"
"adair","CM","CM-2022-47","pre"
"adair","TR","TR-2022-137","pre"
"adair","TR","TR-2022-139","pre"
"adair","CM","CM-2021-48","pre"
"adair","CM","CM-2022-141","pre"
"adair","CM","CM-2019-414","pre"
"adair","CM","CM-2021-19","pre"
"adair","CF","CF-2018-39","pre"
"adair","CM","CM-2022-42","pre"
"adair","CF","CF-2001-261","pre"
"adair","CM","CM-2022-154","pre"
"adair","CF","CF-2021-37","pre"
"adair","CM","CM-2022-71","pre"
"adair","CM","CM-2018-112","pre"
"adair","CF","CF-2022-34","pre"
"adair","CM","CM-2017-164","pre"
"adair","TR","TR-2022-160","pre"
"adair","CF","CF-2022-22","pre"
"adair","CF","CF-2016-242","pre"
"adair","CF","CF-2016-86","pre"
"adair","CF","CF-2017-10","pre"
"adair","CM","CM-2021-97","pre"
"adair","CM","CM-2022-3","pre"
"adair","CM","CM-2021-199","pre"
"adair","CM","CM-2014-17","pre"
"adair","CM","CM-2010-151","pre"
"adair","CM","CM-2022-22","pre"
"adair","CF","CF-2022-32","pre"
"adair","CM","CM-2022-65","pre"
"adair","CM","CM-2022-72","pre"
"adair","CF","CF-2021-61","pre"
"adair","CM","CM-2020-21","pre"
"adair","CF","CF-2014-151","pre"
"adair","TR","TR-2022-158","pre"
"adair","CM","CM-2020-253","pre"
"adair","CM","CM-2022-40","pre"
"adair","TR","TR-2022-136","pre"
"canadian","CF","CF-2022-321","post"
"canadian","CF","CF-2021-374","post"
"canadian","CF","CF-2016-399","post"
"canadian","CM","CM-2010-557","post"
"canadian","TR","TR-2022-3447","post"
"canadian","CF","CF-2021-84","post"
"canadian","TR","TR-2022-4098","post"
"canadian","CF","CF-2022-639","post"
"canadian","CM","CM-2022-117","post"
"canadian","TR","TR-2022-4076","post"
"canadian","TR","TR-2022-3692","post"
"canadian","TR","TR-2022-4021","post"
"canadian","CM","CM-2016-433","post"
"canadian","CF","CF-2020-57","post"
"canadian","CF","CF-2022-67","post"
"canadian","CM","CM-2020-242","post"
"canadian","TR","TR-2022-3497","post"
"canadian","CM","CM-2017-44","post"
"canadian","TR","TR-2011-2820","post"
"canadian","CF","CF-2022-323","post"
"canadian","CF","CF-2021-148","post"
"canadian","CM","CM-2020-576","post"
"canadian","CM","CM-2003-767","post"
"canadian","CF","CF-2022-472","post"
"canadian","CM","CM-2022-487","post"
"canadian","TR","TR-2022-1215","post"
"canadian","TR","TR-2022-3505","post"
"canadian","TR","TR-2022-268","post"
"canadian","CM","CM-2022-187","post"
"canadian","TR","TR-2022-4073","post"
"canadian","CF","CF-2022-99","post"
"canadian","CF","CF-2022-399","post"
"canadian","CF","CF-2022-215","post"
"canadian","CF","CF-2022-318","post"
"canadian","TR","TR-2022-2068","post"
"canadian","CF","CF-2018-110","post"
"canadian","CF","CF-2016-745","post"
"canadian","TR","TR-2022-3496","post"
"canadian","CM","CM-2022-313","post"
"canadian","CF","CF-2013-203","post"
"canadian","CM","CM-2022-16","post"
"canadian","CF","CF-2018-501","post"
"canadian","TR","TR-2022-3709","post"
"canadian","CF","CF-2022-173","post"
"canadian","TR","TR-2022-3236","post"
"canadian","CF","CF-2021-642","post"
"canadian","CF","CF-2007-377","post"
"canadian","TR","TR-2022-3438","post"
"canadian","TR","TR-2022-4026","post"
"canadian","CF","CF-2010-502","post"
