county,code,category,direction,is_rule8,is_conversion_artifact,n_rows,total_amount,notes
adair,SFIJC,,,FALSE,FALSE,75,43161.2,"SHERIFF'S FUND - INMATE JAIL COSTS Pursuant to 12 O.S. § 39,"
adair,FINE,,,FALSE,FALSE,121,24145,FINES PAYABLE TO COUNTY
adair,OCISR,,,FALSE,FALSE,566,14019,OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND
adair,AC53,,,FALSE,FALSE,37,8100,(FORMERLY PC04) IDS ATTORNEY FEES - CRIMINAL ONLY
adair,CTFD,,,FALSE,FALSE,30,6850,COURT FUND ASSESSMENT
adair,COSTM,,,FALSE,FALSE,81,6723,COURT COSTS ON MISDEMEANOR
adair,TCARF,,,FALSE,FALSE,175,6430,TRAUMA CARE ASSISTANCE REVOLVING FUND
adair,VCA,,,FALSE,FALSE,66,5815.55,VICTIMS COMPENSATION ASSESSMENT (AC12)
adair,SFC,,,FALSE,FALSE,13,5779.39,CASE SENT FOR COLLECTION. BATCH ID: 20191001-2462 - COLLECTI
adair,BWIFA,,,FALSE,FALSE,112,5553,"BENCH WARRANT ISSUED FAILED TO APPEAR, JUDGE: L. BROWN - BON"
adair,COSTF,,,FALSE,FALSE,54,5542,COURT COSTS ON FELONY
adair,BWIFC,,,FALSE,FALSE,81,4050,"BENCH WARRANT ISSUED - FAILURE TO COMPLY, JUDGE: L. BROWN - "
adair,COSTT,,,FALSE,FALSE,45,3955,TRAFFIC COSTS
adair,DCADMIN,,,FALSE,FALSE,143,3519.81,DISTRICT COURT ADMINISTRATIVE FEE
adair,ATFEE,,,FALSE,FALSE,17,3450,COURT APPOINTED ATTORNEY FEE ASSESSED TO DEFENDANT (OIDS)***
adair,AC26,,,FALSE,FALSE,9,3210,DA DRUG FUND
adair,BWIFP,,,FALSE,FALSE,62,3100,"BENCH WARRANT ISSUED FAILED TO PAY, JUDGE: L. BROWN - BOND A"
adair,BO,,,FALSE,FALSE,160,3000,"PROFESSIONAL BOND FOR JONES, ANTHONY RANDELL POSTED BY DOHER"
adair,CCADMIN,,,FALSE,FALSE,184,2808.26,COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
adair,COSTD,,,FALSE,FALSE,8,2659,COURT COSTS ON DUI
adair,BOJ,,,FALSE,FALSE,104,2600,BOND INITIAL FILING JAIL FUND FEE
adair,DADRUG,,,FALSE,FALSE,8,2531,DISTRICT ATTORNEY DRUG ASSESSMENT***
adair,AIDS,,,FALSE,FALSE,59,2360,APPLICATION FOR INDIGENT DEFENSE
adair,BWIFAP,,,FALSE,FALSE,45,2250,"BENCH WARRANT ISSUED FAILED TO APPEAR AND PAY, JUDGE: L. BRO"
adair,DPSFEE,,,FALSE,FALSE,56,2156,DPS PATROL VEHICLE FUND FEE ASSESSMENT
adair,DACPAM,,,FALSE,FALSE,76,2085,DA COUNCIL PROSECUTION ASSESSMENT FOR MISDEMEANOR
adair,CTS,,,FALSE,FALSE,41,-2069.6,"CREDIT TIME SERVED FOR THRAILKILL, CHRISTOPHER L IN THE AMOU"
adair,BDFOR,,,FALSE,FALSE,1,2000,BOND FORFEITED
adair,DACPAF,,,FALSE,FALSE,47,2000,DA COUNCIL PROSECUTION ASSESSMENT FOR FELONY
adair,CLEET,,,FALSE,FALSE,173,1653,CLEET PENALTY ASSESSMENT
adair,SSFCHS,,,FALSE,FALSE,164,1618,SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY
adair,AFIS,,,FALSE,FALSE,173,1441,CLEET PENALTY ASSESSMENT FOR AFIS
adair,FOREN,,,FALSE,FALSE,168,1398,FORENSIC SCIENCE IMPROVEMENT ASSESSMENT
